FIPS,city,name,State,area_land,pop_white,pop_black,pop_native,pop_asian,pop_hawaiian,pop_other_race,pop_two_races,average_household_size,pop_over_25,educ_less_hs,educ_hs,educ_some_college,educ_ba,educ_ma,educ_prof_school,educ_doctorate,hs_droput,hs_enrolled,pop_16_over,labor_force,unemployed,not_in_labor_force,total_employed,total_households,income_less_10000,"income_$10,000_$14,999","income $15,000 to $19,999","income $20,000 to $24,999","income $25,000 to $29,999","income $30,000 to $34,999","income$35,000 to $39,999","income $40,000 to $44,999","income$45,000 to $49,999","income $50,000 to $59,999","income $60,000 to $74,999","income $75,000 to $99,999","income $100,000 to $124,999","income $125,000 to $149,999","income  $150,000 to $199,999","income $200,000 or More",median_household_income,median_income_black,median_income_black,median_income_asian,median_income_pacific_island,median_income_other_race,median_income_two_races,median_income_hispanic,median_income_white,per_capita_income,gini_index,Owner Occupied Housing Units,owner_housing_white,owner_housing_non_white,Median Gross Rent,avg_rent,paying_30_home,paying_at_least_50,avg_commute,poverty_overall,poverty_male,poverty_female
11460,Ann Arbor,"Ann Arbor, MI Metro Area",MI,705.9726918,269777,43099,1202,33165,189,2635,15894,2.47,227170,10800,33896,57051,59475,42808,10475,12665,294,28902,304911,197052,9320,107859,187609,140210,9402,5418,5118,5439,5052,5356,5512,5555,4735,9976,13107,16564,13956,9415,11671,13934,69434,41903,63243,68721,29228,47861,62036,51576,75864,39486,0.4826,85122,70189,14933,1083,1152.539573,17049,6771,24,49170,23596,25574
11500,Anniston-Oxford-Jacksonville,"Anniston-Oxford-Jacksonville, AL Metro Area",AL,605.8675299,85558,23676,353,1065,9,1701,2736,2.49,79135,12620,25653,26643,8060,4372,987,800,330,5932,93023,53078,4628,39945,48157,45033,3872,3211,3002,2747,2623,2385,2297,2311,1728,3742,4784,5037,3168,1703,1344,1079,45197,28478,51333,38750,,43942,33068,36766,51481,24706,0.4676,31286,25261,6025,680,631.0249509,5593,2084,25,20819,8489,12330
11540,Appleton,"Appleton, WI Metro Area",WI,955.8586125,213017,2949,3253,7661,39,3831,3811,2.5,158138,9847,50877,51744,32584,9808,2153,1125,208,11829,184749,130536,3575,54213,126930,92514,3160,3144,3475,4178,4064,4219,4009,4476,3937,7706,10139,14406,9828,6573,5626,3574,65031,53438,54782,56454,,36846,53377,46623,66813,32505,0.41,67297,63926,3371,787,790.7998572,11252,3710,20,18371,8334,10037
11580,Arcadia,"Arcadia, FL Micro Area",FL,636.6931368,30464,4420,86,194,46,687,502,2.74,25918,7083,11171,4698,2119,658,123,66,230,1771,30080,14011,702,16069,13309,11996,1010,755,1267,1216,1009,731,843,451,556,1093,1038,1004,451,183,231,158,35057,24599,,,,49833,,27166,40760,18311,0.4526,8383,6266,2117,684,658.8153889,1950,866,25,9824,5484,4340
11620,Ardmore,"Ardmore, OK Micro Area",OK,822.1796364,36108,3108,3843,550,10,621,4166,2.59,32137,4046,11696,9770,4030,1947,364,284,179,2185,37421,22143,1222,15278,20921,18336,1381,962,923,1277,1287,958,870,751,914,1566,2175,2047,1343,760,602,520,49216,29484,45847,51149,,38472,36480,41447,52851,25110,0.453,12576,10252,2324,753,725.9548611,2239,902,19,8055,3520,4535
11640,Arecibo,"Arecibo, PR Metro Area",PR,236.7575572,157472,5502,334,759,0,18144,1679,2.78,129809,34767,36390,29749,22077,5045,627,1154,394,9602,152580,58857,8365,93723,50375,65598,20137,8928,7545,5712,3762,3415,2666,2406,1921,3045,2962,1644,830,308,161,156,17402,15893,48125,15565,,15295,19329,17442,9235,10262,0.5189,45431,147,45284,428,223.647543,9168,4124,27,88862,40640,48222
11660,Arkadelphia,"Arkadelphia, AR Micro Area",AR,866.0775139,15939,5374,86,156,8,506,316,2.31,13175,1422,4021,4090,2330,899,148,265,15,2368,18620,10774,290,7846,10475,8505,1084,354,577,678,507,529,546,430,247,648,750,1039,474,295,211,136,39752,30566,46696,,,,57917,,44905,21571,0.4509,5331,4165,1166,611,555.1354757,714,290,21,3887,1454,2433
11680,Arkansas City-Winfield,"Arkansas City-Winfield, KS Micro Area",KS,1125.738133,31224,1126,639,570,42,513,1477,2.46,23425,2370,7201,9136,3112,1269,249,88,67,2047,28034,16367,798,11667,15544,13566,946,903,592,867,822,925,572,830,626,1248,1297,1698,1056,498,424,262,48087,63333,61618,88446,,34375,37045,42212,48644,23778,0.4256,9028,8159,869,682,679.2860291,1486,530,19,5074,2044,3030
11700,Asheville,"Asheville, NC Metro Area",NC,2032.602171,407359,20836,1751,5110,492,5813,8576,2.31,330742,32951,80745,101873,71794,31075,7264,5040,784,18491,374482,221706,8616,152776,212744,190162,10116,11175,11298,10031,11708,11230,9898,10149,8023,16502,19739,22513,14693,8011,7449,7627,50765,34083,40652,54703,44063,34045,43661,30292,52531,30483,0.4613,128345,119335,9010,874,869.0182312,25393,9786,21,54425,24808,29617
11740,Ashland,"Ashland, OH Micro Area",OH,422.9613543,51672,436,3,396,0,230,740,2.51,35419,4033,15148,8770,4719,2096,325,328,254,3212,42866,26392,1067,16474,25271,20439,1127,830,874,1139,1140,1391,1186,1001,1023,1914,2364,2916,1447,1001,593,493,52730,54875,,91625,,250001,46182,69087,52507,25471,0.4087,14734,14427,307,730,690.4469763,2619,918,24,6769,3215,3554
