FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),State (FIPS),Geographic Identifier,area_land,area_water,pop_density,population,white,black,native,asian,hawaiian,other_populatin,two_races_pop,avg_household_size,pop_25_over,ed_less_than_hs,ed_hs,ed_some_college,ed_ba,ed_ma,ed_prof_degree,ed_phd,total_laborforce,employed,unemployed,median_household_income,median_income_white,median_income_black,median_income_native,median_income_asian,median_income_hawaiian,median_income_other_race,median_income_2_races,median_income_latino,per_capita_income,Gini Index,median_gross_rent,households,households_rent_more_than_30
16,Idaho,Idaho,id,16,04000US16,2.1405E+11,2391722557,20.42237,1687809,1527262,11536,22790,23758,2761,53110,46592,2.68,1089266,102691,301860,391446,198648,65700,15775,13146,806373,768701,37672,53089,53738,39970,40898,53435,39051,43912,46788,44690,26772,0.4499,825,618331,153157
17,Illinois,Illinois,il,17,04000US17,1.43781E+11,6214824948,230.9598,12821497,9189185,1824125,31864,690822,4582,762506,318413,2.59,8682343,964587,2267535,2492430,1801833,847698,194142,114118,6663103,6225964,437139,63575,69194,37244,47573,85828,53958,50770,54634,53440,34463,0.4816,984,4830038,1322409
18,Indiana,Indiana,in,18,04000US18,92789302676,1538002829,185.2676,6637426,5548277,619472,14925,144991,2818,144648,162295,2.53,4399815,502624,1475931,1281352,727108,304487,62892,45421,3345383,3164414,180969,54325,57269,33342,41801,62136,50789,42130,41549,45697,28461,0.4501,807,2553818,579349
19,Iowa,Iowa,ia,19,04000US19,1.44661E+11,1084180812,56.08367,3132499,2827889,109911,11549,75083,3129,39168,65770,2.41,2081373,166709,648137,679510,395820,132751,33970,24476,1674697,1609481,65216,58580,60123,31053,36941,60638,42077,47341,39926,45948,31085,0.4421,766,1256855,252126
20,Kansas,Kansas,ks,20,04000US20,2.11755E+11,1344141205,35.57735,2908776,2460619,169801,24050,83531,2143,67588,101044,2.52,1894675,175719,492819,603061,394462,168742,36091,23781,1493698,1428660,65038,57422,59641,35829,43943,68821,51903,45833,46653,45236,30757,0.4584,831,1124549,249380
21,Kentucky,Kentucky,ky,21,04000US21,1.02279E+11,2375337755,112.4377,4440204,3866676,354112,9888,62802,2814,44086,99826,2.49,3004004,429573,991791,873037,415937,211163,53145,29358,2087800,1959442,128358,48392,50267,33642,33200,62655,34885,37116,40146,40559,26948,0.4775,741,1728681,386652
22,Louisiana,Louisiana,la,22,04000US22,1.11898E+11,23753621895,107.9443,4663616,2901106,1502916,26272,79872,1468,60419,91563,2.61,3107941,471960,1055768,842620,483170,173858,51432,29133,2180965,2031115,149850,47942,58632,29508,41664,61351,56667,36882,44816,44169,27027,0.4927,850,1736021,437693
23,Maine,Maine,me,23,04000US23,79887426037,11746549764,43.21043,1332813,1259217,17881,8302,14917,318,2970,29208,2.33,967897,74426,308013,286179,190172,78014,18281,12812,697391,665188,32203,55425,56030,38655,32670,55656,70500,55332,39828,49082,31253,0.4527,831,556955,138100
24,Maryland,Maryland,md,24,04000US24,25151100280,6979966958,618.2164,6003435,3373181,1788090,15644,374277,3059,249815,199369,2.67,4114858,409757,1021847,1052689,877641,522662,124561,105701,3232422,3051333,181089,81868,90964,65039,69955,102786,89265,64028,77834,70412,40517,0.452,1357,2192518,651733
25,Massachusetts,Massachusetts,ma,25,04000US25,20205125364,7129925486,875.5262,6830193,5360006,510558,14493,442574,2329,284740,215493,2.53,4748795,454360,1150846,1105887,1128877,637628,141903,129294,3773721,3570257,203464,77378,81977,48382,42686,91713,79919,40262,61053,41289,41794,0.4841,1225,2601914,806903
26,Michigan,Michigan,mi,26,04000US26,1.46601E+11,1.03886E+11,175.9182,9957488,7818588,1375424,53235,304403,2979,119141,283718,2.49,6772215,641536,1966809,2226818,1179677,559642,118563,79170,4919495,4598487,321008,54938,59077,33649,42336,82733,58547,43310,43428,46629,30336,0.4664,850,3909509,920207
